Entity,bins
Nelson Holdings International Ltd. shareholders,Bin 1 (Highest)
Neoteny,Bin 2
Net loss for the three months to June,Bin 1 (Highest)
Neville,Bin 3
New Jersey,Bin 4 (Lowest)
New Jersey lawmakers,Bin 3
New Mexico,Bin 4 (Lowest)
New Orleans before it was relocated to Six Flags Fiesta Texas,Bin 1 (Highest)
New York Yankees,Bin 3
New York high school men,Bin 3
New York on Monday,Bin 3
"New York, Chicago, Washington, DC, Philadelphia, San Francisco, and Los Angeles",Bin 1 (Highest)
New Zealand v South Africa,Bin 2
New clubs to join,Bin 2
Newport Stadium in Newport,Bin 2
Newsround,Bin 1 (Highest)
Next day,Bin 4 (Lowest)
No amount of scrimping and saving,Bin 1 (Highest)
No one,Bin 4 (Lowest)
No statistics,Bin 3
Norfolk,Bin 4 (Lowest)
Norm,Bin 3
Norman Conquest,Bin 4 (Lowest)
North Africa,Bin 3
North America,Bin 4 (Lowest)
North Channel,Bin 3
North Korea's political climate,Bin 2
North of the town center,Bin 3
Northwich and Ellesmere Port,Bin 1 (Highest)
Norway,Bin 4 (Lowest)
Novak Djokovic,Bin 2
"Novato, Calif., and Cigna Corp., based in Philadelphia",Bin 1 (Highest)
November,Bin 4 (Lowest)
Oakland,Bin 4 (Lowest)
Occupied Flanders,Bin 2
Ohio newspapers,Bin 3
Oklahoma State,Bin 4 (Lowest)
Olympic National Park,Bin 2
Olympique Lyonnais (Lyon),Bin 1 (Highest)
One hundred years,Bin 3
One in three Palestinians,Bin 2
One person besides Stack,Bin 1 (Highest)
One subspecies of Tiliqua scincoides,Bin 1 (Highest)
Oneida silverware,Bin 2
Online Reputation,Bin 3
Only one modern example of a national agrarian experiment,Bin 1 (Highest)
Opa Opa,Bin 1 (Highest)
Opole-Raciborz,Bin 1 (Highest)
Order of the Golden Fleece,Bin 3
Orders,Bin 4 (Lowest)
Ordinary Decent Criminal,Bin 2
Orlov,Bin 2
Oromiffa,Bin 2
"Other acids of noncoordinating anion s, such as fluoroboric acid and hexafluorophosphoric acid",Bin 1 (Highest)
"Other extensive parts, including the living room and the dispensary",Bin 1 (Highest)
Other resistance welding methods,Bin 2
Ottawa,Bin 4 (Lowest)
Our network of moving companies,Bin 2
Our secret weapon,Bin 2
Oxford,Bin 4 (Lowest)
"Oxford Professor Tariq Ramadan, law professor and U.N. war crimes expert M. Cherif Bassiouni, and University of Chicago Professor Jennifer Pitts",Bin 1 (Highest)
Ozzy Osbourne's,Bin 1 (Highest)
Pakistanis,Bin 3
Palestinian Authority,Bin 4 (Lowest)
Palestinian Authority Chairman Mahmoud Abbas,Bin 2
Palin's office,Bin 2
Paris,Bin 4 (Lowest)
Parks,Bin 4 (Lowest)
Passignano and Giuseppe,Bin 1 (Highest)
Patrick Dwyer and Sergei Samsonov,Bin 1 (Highest)
Patrick O'Sullivan,Bin 2
Paul Gauguin's Vase de Fleurs (also known as Lilas),Bin 1 (Highest)
Pavel Brutt,Bin 2
Penn,Bin 4 (Lowest)
Pennsylvania,Bin 4 (Lowest)
"Pennsylvania, Michigan, Colorado, Ohio and New York",Bin 1 (Highest)
People,Bin 4 (Lowest)
People in Taiwan,Bin 3
Perhaps the biggest of those factors,Bin 2
Persuasion and Emma,Bin 2
Peruvian referee Georges Buckley,Bin 1 (Highest)
Peter Coors,Bin 3
Peter Hodge,Bin 2
Pfitzner,Bin 1 (Highest)
Physical attractiveness,Bin 2
Pipe Masters,Bin 2
Pitt,Bin 4 (Lowest)
Plame,Bin 2
"Plock County, Masovian Voivodeship, in east-central Poland",Bin 1 (Highest)
"Poland, where he is suspected of involvement in the theft of an infamous sign at Auschwitz",Bin 1 (Highest)
Police detectives,Bin 3
Police officers,Bin 4 (Lowest)
Polish family,Bin 3
Pope Pius XI,Bin 4 (Lowest)
Popescu,Bin 3
Popular tradition,Bin 2
Port Sudan on the Red Sea via Khartoum,Bin 1 (Highest)
"Port of Spain, Trinidad",Bin 3
Postville,Bin 3
"Potatoes, tomatoes, rice tobacco, lettuce, safflowers, and other plants",Bin 1 (Highest)
Powerful explosives,Bin 3
"Pozsony, Hungary (now Bratislava, Slovakia, Pressburg in German) Elisabeth",Bin 1 (Highest)
"Preliminary signs of an upturn in labor markets, along with further gains in stock prices",Bin 1 (Highest)
President,Bin 4 (Lowest)
President Clinton,Bin 4 (Lowest)
President Truman as U.S. ambassador,Bin 1 (Highest)
"President of Drexel University in Philadelphia, Pennsylvania",Bin 1 (Highest)
Pretoria,Bin 4 (Lowest)
Production,Bin 4 (Lowest)
Project Gutenberg and the University of Virginia,Bin 1 (Highest)
Proksch,Bin 2
"Promus Hotel Corporation, a hotel management and franchise company",Bin 1 (Highest)
Proton,Bin 4 (Lowest)
Puerto Rico,Bin 4 (Lowest)
Puerto Rico Telephone Co.,Bin 2
Qamaruzzaman,Bin 1 (Highest)
Qin-period chariots on loan from the Taiwanese art collector Huang Jen-chung and the National Museum of Natural Science,Bin 1 (Highest)
"QuakeNet, a network originally created for players of the first-person shooter Quake and now used by players of many different games",Bin 1 (Highest)
Quirino's party,Bin 2
RB Rudi Johnson,Bin 1 (Highest)
"Radomsko County, Lodz Voivodeship, in central Poland",Bin 1 (Highest)
Rafael Palmeiro of the Baltimore Orioles,Bin 1 (Highest)
Rann,Bin 3
Ray Bradbury The Illustrated Man,Bin 1 (Highest)
Recent tour-mates,Bin 2
Regime change in Iraq,Bin 2
Renault-Nissan diesel and petrol engines,Bin 2
Rennes,Bin 3
Replacement bocce balls,Bin 2
Reporters,Bin 4 (Lowest)
Reports,Bin 4 (Lowest)
Republic chief executive Bryan Bedford,Bin 1 (Highest)
Reuben Fine and Harry Golombek,Bin 1 (Highest)
"Ricardo Montalban, Red Skelton and Betty Garrett, who had also been in Take Me Out to the Ball Game",Bin 1 (Highest)
Richard Nixon,Bin 3
Ricky's help,Bin 2
Right-bank Ukraine,Bin 2
Rimske Toplice,Bin 2
Riot officers in the Paris suburb of Nanterre and the southeastern city of Lyon,Bin 1 (Highest)
Ritek,Bin 2
Ritual Entertainment,Bin 2
Rival parties' House campaign operations,Bin 1 (Highest)
River Krishna,Bin 4 (Lowest)
Rob Ryan--who is also Cleveland's defensive coordinator--Rex Ryan,Bin 1 (Highest)
Roberto Maroni,Bin 2
Robin Hoods,Bin 3
Rodney Hide,Bin 2
Roger Federer in the semifinals,Bin 2
Roman Empire,Bin 4 (Lowest)
Romanelli,Bin 3
Rome,Bin 4 (Lowest)
Rome at which Enrico died,Bin 2
Rosenborg BK,Bin 2
Ross MacDonald in the men's Star event,Bin 1 (Highest)
Rostra,Bin 3
Rucker,Bin 2
Ruslan Ponomariov and Veselin Topalov,Bin 1 (Highest)
Russia's irrational harshness,Bin 2
Russian Krasnoyarsk city,Bin 1 (Highest)
"Russian Yuri Malenchenko, and American Peggy Whitson",Bin 1 (Highest)
Russian influence and trade,Bin 2
"Rypin County, Kuyavian-Pomeranian Voivodeship, in north-central Poland",Bin 1 (Highest)
SACN,Bin 2
SOFCs,Bin 2
STECI,Bin 2
Saab,Bin 3
Saint George,Bin 4 (Lowest)
Samachar Darpan Samachar Darpan,Bin 1 (Highest)
Sammons,Bin 2
San Francisco for a fund-raiser,Bin 1 (Highest)
Sandra Stevens (later of Brotherhood of Man) and then Lyn Paul (her future colleague in The New Seekers),Bin 1 (Highest)
Sandy Hook,Bin 3
Sarah Michelle Gellar,Bin 2
Saturday,Bin 4 (Lowest)
Saturday night,Bin 4 (Lowest)
Saudi Arabia,Bin 4 (Lowest)
Scotch Whisky,Bin 4 (Lowest)
Scotland,Bin 4 (Lowest)
Scott Shaw,Bin 3
Seaham Colliery,Bin 2
Seljuk power,Bin 1 (Highest)
Sen. Mitchell,Bin 2
Sennacherib,Bin 1 (Highest)
Sensors on the equipment,Bin 2
September,Bin 4 (Lowest)
Serbian label City Records and HAYAT Records,Bin 1 (Highest)
Seth,Bin 3
Seven Springs Farms,Bin 2
"Several of the New York Stock Exchange's own listed companies, led by giant Contel Corp.",Bin 1 (Highest)
Several players from each team,Bin 2
Shaanxi,Bin 2
"Shannon Airport, Ireland",Bin 3
Share prices,Bin 3
She,Bin 4 (Lowest)
She and Max Rostal,Bin 1 (Highest)
Shockacon,Bin 2
Simon,Bin 3
Simple pleasures of a picnic lunch watching the Ulster coast,Bin 1 (Highest)
"Sinaloa, Mexico",Bin 1 (Highest)
Sir Alan,Bin 3
Siskund,Bin 2
Skeletal and cardiac muscles,Bin 2
Slash,Bin 3
"Slovakia's top brown coal producer, supplying fuel to the nearby Novaky heating plant",Bin 1 (Highest)
Small car makers,Bin 3
Smith,Bin 4 (Lowest)
Soft eye shields,Bin 2
Sollom,Bin 2
Some aspects of Brazilian culture,Bin 2
Some early selling,Bin 2
Some of them,Bin 3
Sony,Bin 4 (Lowest)
Sony Pictures due to their desire to change the title,Bin 1 (Highest)
Sotheby's International branches,Bin 1 (Highest)
South America,Bin 3
South Carolina as a delegate,Bin 2
South Korea,Bin 4 (Lowest)
"South Ossetia, whose residents mostly have Russian passports",Bin 1 (Highest)
Southbank and Elsternwick,Bin 1 (Highest)
Southport,Bin 3
Spain,Bin 4 (Lowest)
Spain coach Vicente del Bosque,Bin 1 (Highest)
Spencer,Bin 4 (Lowest)
Sporadic clashes,Bin 3
Sri Lanka,Bin 3
"St Mary Hall, Oxford",Bin 3
St. Charles Car Company,Bin 2
"St. Louis, Missouri",Bin 3
St. Tammany Parish Public Schools,Bin 1 (Highest)
St. Trudpert's Abbey (Kloster St. Trudpert),Bin 1 (Highest)
Stage history,Bin 3
"Stamford Bridge, home of Chelsea",Bin 2
Stargate SG-1,Bin 2
Stefan,Bin 3
Steve Jobs,Bin 4 (Lowest)
Stewart,Bin 3
Stewart and former ImClone CEO Sam Waksal,Bin 1 (Highest)
Stockholm Open,Bin 4 (Lowest)
Straight,Bin 4 (Lowest)
String piano,Bin 3
Students Association,Bin 3
Such features,Bin 3
Such money,Bin 3
Sunday,Bin 4 (Lowest)
Super Lig,Bin 3
Surveyors since the time of William Penn and George Washington,Bin 1 (Highest)
Sutton,Bin 3
Suzanne Collins,Bin 3
"Suzanne Pleshette, Rod Taylor, Jane Russell (playing herself entertaining for the USO in a flashback sequence), Wally Cox",Bin 1 (Highest)
Sweden,Bin 4 (Lowest)
Swidwin County,Bin 1 (Highest)
Switzerland,Bin 4 (Lowest)
TCAC,Bin 2
THE ROCK AND ROLL HALL OF FAME,Bin 2
TIME magazine,Bin 3
TV processors,Bin 2
Taiwan authorities,Bin 3
Taiwan scholars,Bin 3
Taiwan's big enterprises and consortia,Bin 1 (Highest)
Taiwan's financial regulator,Bin 2
Taliban militants,Bin 4 (Lowest)
Tanganyika (now Tanzania),Bin 1 (Highest)
Tanzim,Bin 2
Tea,Bin 4 (Lowest)
Ten Chinese companies,Bin 2
Terry Labonte,Bin 2
"Thaddeus Stevens, a virulent abolitionist",Bin 1 (Highest)
That appearance,Bin 2
That figure,Bin 3
That one brief rest stop,Bin 2
That year,Bin 3
Thatcher,Bin 4 (Lowest)
The Alliance,Bin 3
The Arts Centre,Bin 3
The Audit Bureau of Circulations,Bin 2
The Awis,Bin 2
The Barbican,Bin 1 (Highest)
The Battle of Britain Monument in London,Bin 2
The Battle of San Pasqual,Bin 2
The Bhoys,Bin 2
The Big Board,Bin 3
The Bishopric of Trent,Bin 2
The Black Sea Shad (Alosa maeotica),Bin 1 (Highest)
The British Broadcasting Corp. and the U.S. State Department,Bin 1 (Highest)
The British balance-of-payments statistics,Bin 1 (Highest)
The Cascade Range,Bin 3
The Cedula of Population,Bin 1 (Highest)
The Church of Ireland parish church at the lower end,Bin 1 (Highest)
The Clippers,Bin 3
The Company,Bin 4 (Lowest)
The Congress of Racial Equality (CORE) surrounded the building before anyone,Bin 1 (Highest)
The Conservatives,Bin 4 (Lowest)
The Crucible,Bin 3
The CyBC trade unions,Bin 1 (Highest)
The DMC,Bin 2
The Dancing House,Bin 2
The Devils,Bin 3
The Drozd system,Bin 2
The ERRC,Bin 2
The EU move,Bin 3
The Earth,Bin 4 (Lowest)
"The El Cortez, a hotel and casino",Bin 1 (Highest)
The Elihu Benjamin Washburne House,Bin 1 (Highest)
The Elwha Ecosystem Restoration project,Bin 2
The Energy Blue skin The Energy Blue skin,Bin 1 (Highest)
The Faroe Islands National Art Museum,Bin 1 (Highest)
The First Sudanese Civil War,Bin 2
The Format,Bin 3
The GASB,Bin 2
"The Gandhara kingdom of the northwest, and the legendary Gandhara peoples",Bin 1 (Highest)
The German champions,Bin 3
The Greek crisis,Bin 3
The HAVING clause,Bin 2
The ISM index,Bin 2
The Iberian nations,Bin 2
The Iraqi government,Bin 3
The Israeli Manufacturers' Association,Bin 3
The Jazz,Bin 3
"The Maharajah of Baroda, Sir Sayajirao Gaekwad III",Bin 1 (Highest)
The Mali football federation,Bin 3
"The McLean, Va., company",Bin 2
The NuSTAR launch team,Bin 2
The Ordovician Bald Eagle Formation,Bin 1 (Highest)
The Pakistani Army,Bin 3
The Polish government,Bin 3
The Protocols,Bin 4 (Lowest)
The Qishla of Mecca,Bin 1 (Highest)
The Republican National Committee's finance director and his deputy,Bin 1 (Highest)
The River Cleddau,Bin 2
The Rwandan government,Bin 2
The Society of Olive Oil Producers of Baetica,Bin 1 (Highest)
The Stripe-throated Wren (Cantorchilus leucopogon),Bin 1 (Highest)
"The Three Blind Mice, Gingy, Pinocchio, and the Big Bad Wolf",Bin 1 (Highest)
The U.S. Senate,Bin 3
The UN Security Council decision,Bin 3
The UN mission in Afghanistan,Bin 2
The UN resolution,Bin 4 (Lowest)
"The UN's human rights chief, Navi Pillay",Bin 1 (Highest)
The US air campaign in Afghanistan and Pakistan,Bin 1 (Highest)
The United States,Bin 4 (Lowest)
"The University of Karachi, simply referred as KU",Bin 1 (Highest)
The World,Bin 4 (Lowest)
"The actress, who is riding high on the success of Fashion and Dostana",Bin 1 (Highest)
The agency,Bin 4 (Lowest)
The airline's inaugural flight,Bin 2
"The area around the towns of Mikulov, Znojmo, Velke Pavlovice",Bin 1 (Highest)
The army,Bin 4 (Lowest)
The audience,Bin 4 (Lowest)
The automaker,Bin 3
The band,Bin 4 (Lowest)
The bank based in North Carolina,Bin 2
The battalion,Bin 4 (Lowest)
The battle,Bin 4 (Lowest)
The behavior of complex macromolecular systems at materials interfaces,Bin 1 (Highest)
The best of the crop,Bin 2
The bloc's decision,Bin 2
The board,Bin 4 (Lowest)
The bone,Bin 4 (Lowest)
The brokers' hope,Bin 2
The builders,Bin 4 (Lowest)
The capital case against Slahi,Bin 1 (Highest)
The cause of the collapse,Bin 3
The caustic spill--Hungary's worst ecological disaster,Bin 1 (Highest)
The central issue,Bin 3
"The chairman and a director of one of the Republic of Singapore's leading property companies, City Development Ltd., or CDL",Bin 1 (Highest)
The cities of Alma and St. Louis,Bin 2
The city,Bin 4 (Lowest)
The commission,Bin 4 (Lowest)
The committee,Bin 4 (Lowest)
The company,Bin 4 (Lowest)
The concern,Bin 4 (Lowest)
The conflict in Kosovo,Bin 3
The convention,Bin 4 (Lowest)
The convoy of Qasim Fahim,Bin 1 (Highest)
The county,Bin 4 (Lowest)
The culture,Bin 4 (Lowest)
The date,Bin 4 (Lowest)
The debt,Bin 4 (Lowest)
The decline,Bin 4 (Lowest)
The discovery of the mass graves,Bin 2
The distinctive carriages,Bin 2
The district,Bin 4 (Lowest)
The division,Bin 3
The dollar,Bin 4 (Lowest)
The drink,Bin 4 (Lowest)
The earliest evidence of wild barley in an archaeological context,Bin 1 (Highest)
The eastern and western sections of the city,Bin 2
The eastern border of Colorado with Nebraska and Kansas,Bin 1 (Highest)
The emperor Alexander,Bin 3
"The endowment model, pioneered by Yale's investment chief, David Swensen",Bin 1 (Highest)
The environment,Bin 4 (Lowest)
The explosion,Bin 4 (Lowest)
The explosions,Bin 4 (Lowest)
The factory in Thailand,Bin 2
The figure,Bin 4 (Lowest)
The film,Bin 4 (Lowest)
The fire,Bin 4 (Lowest)
The first collision,Bin 3
The following December,Bin 3
The foundation stone,Bin 4 (Lowest)
The garage,Bin 4 (Lowest)
The government,Bin 4 (Lowest)
The guide,Bin 3
The head of an Ayllu,Bin 1 (Highest)
The heat treatment process for most steels,Bin 1 (Highest)
The iPad,Bin 4 (Lowest)
The insurance coverage,Bin 3
The island,Bin 4 (Lowest)
The island's parliament,Bin 3
The islands,Bin 4 (Lowest)
The issue,Bin 4 (Lowest)
The journalistic consensus,Bin 2
The key,Bin 4 (Lowest)
The key U.S. and foreign annual interest rates below,Bin 1 (Highest)
The large star,Bin 3
The larvae,Bin 4 (Lowest)
The letter,Bin 4 (Lowest)
The level of disorder,Bin 2
The lorem ipsum,Bin 1 (Highest)
The main event,Bin 3
The manner in which it was confirmed,Bin 2
The mechanism,Bin 3
The men,Bin 4 (Lowest)
The mission,Bin 4 (Lowest)
The most exciting part of the day,Bin 2
The move,Bin 3
The movie,Bin 4 (Lowest)
The nerds outside of the club,Bin 1 (Highest)
The new administration,Bin 4 (Lowest)
The news,Bin 4 (Lowest)
The next stage,Bin 4 (Lowest)
The objective,Bin 4 (Lowest)
The only homers,Bin 2
The organisation,Bin 4 (Lowest)
"The original stage design of Threepenny, by Caspar Neher",Bin 1 (Highest)
The other musicals opening directly on Broadway,Bin 1 (Highest)
The parasite Samson,Bin 2
The park,Bin 4 (Lowest)
The parliament of the republic,Bin 3
The parliamentary leader,Bin 3
The personal income tax threshold,Bin 3
The planes that go to LaGuardia,Bin 1 (Highest)
"The prime minister and her new chancellor of the exchequer, the untested John Major",Bin 1 (Highest)
The problem,Bin 4 (Lowest)
The publication,Bin 4 (Lowest)
The purpose of the conference,Bin 3
"The quarter-on-quarter growth, in line with market expectations",Bin 1 (Highest)
The race,Bin 4 (Lowest)
The rally,Bin 3
The rattlesnake,Bin 1 (Highest)
The reactor building containment dome,Bin 2
The recovery,Bin 4 (Lowest)
The report,Bin 4 (Lowest)
The researchers,Bin 3
The reservoirs,Bin 3
The result,Bin 4 (Lowest)
The results,Bin 4 (Lowest)
The roasting smell,Bin 3
The row,Bin 4 (Lowest)
The ruffly bits,Bin 2
The screenplay,Bin 4 (Lowest)
"The second problem, which also involves the first",Bin 1 (Highest)
The ship,Bin 4 (Lowest)
The show,Bin 4 (Lowest)
The site,Bin 4 (Lowest)
The situations,Bin 3
The soldier,Bin 3
The solution,Bin 4 (Lowest)
The song,Bin 4 (Lowest)
The spacecraft,Bin 4 (Lowest)
The split,Bin 2
The state attorney,Bin 3
The state park,Bin 3
The statement,Bin 4 (Lowest)
The station,Bin 4 (Lowest)
The step,Bin 3
The story,Bin 4 (Lowest)
The story of the Samuni family,Bin 2
The team,Bin 4 (Lowest)
The three female nominees,Bin 2
The three main candidates,Bin 3
The tragedy,Bin 4 (Lowest)
The train,Bin 4 (Lowest)
The trappings of success,Bin 2
The two countries,Bin 4 (Lowest)
The two tendons concerned,Bin 1 (Highest)
The unions,Bin 4 (Lowest)
The unmanned aircraft,Bin 3
The use of the term,Bin 3
The vaccine,Bin 4 (Lowest)
The vehemence of the emotions aroused by the case,Bin 1 (Highest)
The verdict by Moscow City Court,Bin 2
The video,Bin 4 (Lowest)
The village,Bin 4 (Lowest)
The visitors,Bin 4 (Lowest)
The wave principle,Bin 2
Their ignorance and presumption,Bin 1 (Highest)
These acts,Bin 3
These blatant and deliberate leaks,Bin 1 (Highest)
These people brought this,Bin 2
These two servers,Bin 3
They,Bin 4 (Lowest)
This Old House,Bin 3
This calamity,Bin 2
This embassy,Bin 3
This kind of opinion,Bin 2
This meeting,Bin 4 (Lowest)
This member,Bin 3
This method of law enforcement,Bin 2
This much acclaimed masterpiece,Bin 2
This system,Bin 3
This technique,Bin 4 (Lowest)
This tournament,Bin 4 (Lowest)
Three militants armed with suicide vests and machine guns,Bin 1 (Highest)
Three players,Bin 4 (Lowest)
Thursday,Bin 4 (Lowest)
Time magazine,Bin 4 (Lowest)
"Time, the largest newsweekly",Bin 1 (Highest)
Tobias Harris in his blog Observing Japan,Bin 1 (Highest)
Today,Bin 4 (Lowest)
"Today Gao, who now lives in France",Bin 1 (Highest)
Tom Daschle,Bin 2
Top-seeded Lee Chong Wei of Malaysia,Bin 1 (Highest)
Toulouse FC,Bin 4 (Lowest)
Towel Day,Bin 2
Transylvania Twist,Bin 2
Trevithick,Bin 1 (Highest)
Tropical Storm Zeta,Bin 2
Truk,Bin 3
Trusthouse Forte,Bin 2
Tuesday,Bin 4 (Lowest)
Tuesday's attacks,Bin 2
Tuesday's policy changes,Bin 1 (Highest)
Tuscany,Bin 4 (Lowest)
Two early organizations that any student of queer history should know,Bin 1 (Highest)
Two years,Bin 4 (Lowest)
"Ty Votaw, executive director of the IGF's Olympic Golf Committee, which has coordinated golf's Olympic bid",Bin 1 (Highest)
Types of bipedal movement,Bin 1 (Highest)
U.S. attorneys,Bin 3
U.S. car and truck sales,Bin 2
U.S. investors,Bin 3
U.S. officials,Bin 3
U.S. stocks,Bin 2
U.S. support,Bin 3
UBS,Bin 3
UCLA,Bin 4 (Lowest)
UEFA criteria,Bin 3
US capital corporations,Bin 2
US scientists,Bin 3
USA,Bin 4 (Lowest)
USA Stan Smith,Bin 2
USPS,Bin 3
"Ultimate Alliance (exclusive to next-gen and can be downloaded to PC version, NPC otherwise)",Bin 1 (Highest)
Union,Bin 4 (Lowest)
Unique clocks,Bin 2
United Arab Emirates,Bin 3
United Kingdom,Bin 3
United States Coast Guard,Bin 2
United States Senator Chuck Grassley of Iowa,Bin 1 (Highest)
"University of California, Berkeley",Bin 3
"Utility stocks, on the other hand",Bin 2
Vaishnavites,Bin 1 (Highest)
"Vancouver, BC",Bin 3
Vassar College,Bin 2
Venice,Bin 4 (Lowest)
Veronica and Nick,Bin 2
"Vietnam, a country with which it has tense relations and no official diplomatic ties",Bin 1 (Highest)
Voice of America broadcast over Hungarian airwaves,Bin 1 (Highest)
Vojislav Kostunica,Bin 1 (Highest)
Wal-Mart,Bin 3
Wall Street Journal columnist James Taranto,Bin 1 (Highest)
"Walt Disney Television, titled Eloise at the Plaza and Eloise at Christmastime, starring Sofia Vassilieva as Eloise and Julie Andrews as Nanny",Bin 1 (Highest)
Wang Baoshan,Bin 2
"Wanpeng Shi, chairman of the General Textile Association",Bin 1 (Highest)
"Washington writer Suzanne Garment, who is working on a history of post-Watergate scandal",Bin 1 (Highest)
Washington's proposal,Bin 2
We,Bin 4 (Lowest)
Web users,Bin 3
Wedding experts,Bin 2
Wedge,Bin 4 (Lowest)
Wednesday,Bin 4 (Lowest)
Weidiaunuo,Bin 1 (Highest)
West Germany Konrad Adenauer,Bin 2
"Western Pueblo, Native American cultures which are located in the southwestern region of the United States",Bin 1 (Highest)
Westlife's music,Bin 2
Wheat Ridge,Bin 2
Whorenahan,Bin 1 (Highest)
Wieck,Bin 2
Wikipedia's Hajime Katoki article,Bin 1 (Highest)
William,Bin 3
Williams and the baby,Bin 2
Wilson,Bin 3
"Winchester School and Trinity College, Cambridge",Bin 2
Wind,Bin 4 (Lowest)
"Winnipeg, Manitoba, Canada",Bin 3
Winston Churchill,Bin 3
Witnesses,Bin 4 (Lowest)
Wolfgang Schussel,Bin 1 (Highest)
Worcestershire,Bin 4 (Lowest)
World War I and World War II European citizens,Bin 1 (Highest)
Xiang's capital of Pengcheng,Bin 1 (Highest)
Xiao Yi,Bin 3
Yale Law School,Bin 3
"Ying Bu, Wu Rui and Gong Ao",Bin 1 (Highest)
You,Bin 4 (Lowest)
Your Brain on Music,Bin 2
Yugoslavia,Bin 4 (Lowest)
"Zack Mills, Larry Johnson, and Sean McHugh",Bin 1 (Highest)
Zisman,Bin 2
a Catholic organisation documenting human rights abuses following the Zimbabwe War of Independence,Bin 1 (Highest)
a Comment,Bin 4 (Lowest)
a Dame Commander of the Order of the British Empire (DBE),Bin 1 (Highest)
a Dutch microbiologist and biochemist,Bin 1 (Highest)
"a French Army training facility located in Arta, Djibouti",Bin 1 (Highest)
a French citizen,Bin 3
a French signal,Bin 2
a Gaul,Bin 3
a Gem Faire event,Bin 1 (Highest)
a German football coach and a former player,Bin 2
a Grand Rapids jury saying Taco Bell,Bin 1 (Highest)
a Guggenheim Fellowship,Bin 3
"a Hakka community in Calcutta, India of previous, considerable size",Bin 1 (Highest)
a James Milner own goal,Bin 1 (Highest)
a Jew,Bin 3
a June EC summit,Bin 2
"a Middle Age kingdom called Houghton Bottoms, ruled by the diminutive King Arthur and his Queen Edith",Bin 1 (Highest)
a Monday market meltdown,Bin 1 (Highest)
a NASA document,Bin 3
a Norwegian football (soccer) player,Bin 1 (Highest)
a Palestinian,Bin 3
a Premium Station,Bin 2
a Relevos Suicidas match,Bin 1 (Highest)
a Turkish professional footballer who currently plays for Kasimpasa in the Super Lig,Bin 1 (Highest)
a United flight,Bin 3
a Venezuelan footballer Striker who currently plays for Deportivo Lara,Bin 1 (Highest)
a ballot,Bin 4 (Lowest)
a basketball theme,Bin 3
a benefit,Bin 4 (Lowest)
a better use of these language training resources,Bin 1 (Highest)
a big step,Bin 3
a bit of a question on how the series would fare this season,Bin 1 (Highest)
a blanket,Bin 4 (Lowest)
a blow,Bin 4 (Lowest)
a bold and controversial move,Bin 2
a bottle of port poisoned,Bin 2
a boy,Bin 4 (Lowest)
a branch line,Bin 3
a branch to the important city of Wells,Bin 1 (Highest)
a brief recess,Bin 3
a brief stay in the AHL,Bin 2
a broad network,Bin 3
"a brother in the monastery of St-Lucien, Beauvais",Bin 1 (Highest)
a built-in GPS navigation chip coupled to Nokia's Ovi Maps software,Bin 1 (Highest)
a bus in Afghanistan,Bin 2
a career at a company,Bin 2
a chance,Bin 4 (Lowest)
"a change in cell potential, that is, the difference of the electrical charge on both sides of the membrane",Bin 1 (Highest)
a city,Bin 4 (Lowest)
a city resident,Bin 2
a clear victory over the opposition Red-Green bloc,Bin 1 (Highest)
a close watch on developments in east Asia,Bin 1 (Highest)
a club,Bin 3
a club playing in the Fourth National division,Bin 2
a collaboration with Janet Jackson,Bin 2
a collection of biographies and filmographies of the masters of Russian and Soviet animation,Bin 1 (Highest)
a commonly used supplement,Bin 2
a concert artist and composer,Bin 2
a contract,Bin 4 (Lowest)
a contributor,Bin 3
a control freak,Bin 3
a convention with the German state of Rhineland-Palatinate,Bin 2
a corporate source,Bin 3
a county emergency official,Bin 2
a crew of four,Bin 2
"a criminal soul mate, whose greed and dishonest inventiveness equaled his own",Bin 1 (Highest)
a crisis in the stock markets,Bin 2
a critical budget that was aimed at shoring up public support,Bin 1 (Highest)
a cross,Bin 4 (Lowest)
a cross-strait taxation agreement,Bin 2
a crowd,Bin 4 (Lowest)
a curse to control him again,Bin 1 (Highest)
a daily earthquake response,Bin 2
a date for it,Bin 3
a day,Bin 3
a day for a computer security manager,Bin 2
a decade,Bin 3
a decades-long struggle,Bin 2
a decision,Bin 4 (Lowest)
a decline in projected ticket sales,Bin 2
a delegation of Hong Kong legislators,Bin 1 (Highest)
a detachment from the regiment,Bin 2
a dictatorship conserving some of the liberties and mechanisms of democracy,Bin 1 (Highest)
a different conversation,Bin 3
a disaster of a film,Bin 2
a discipline,Bin 3
a dope test,Bin 2
"a draw including the AFC, CAF, CONCACAF and OFC champions",Bin 1 (Highest)
a far surer bet in a competitive district than a newcomer running to keep the seat in a party's hands,Bin 1 (Highest)
a ferry,Bin 4 (Lowest)
a few shows,Bin 3
a final peace accord,Bin 3
a flight attendant,Bin 3
a focus of weeks of anti-Saakashvili protests this year,Bin 1 (Highest)
a food crisis,Bin 3
a former Romanian football player and football manager,Bin 1 (Highest)
a foundation,Bin 4 (Lowest)
a fourth consecutive overall victory,Bin 2
a free agent,Bin 3
a glacier-look for a Tyrol advertisement,Bin 1 (Highest)
a god in China,Bin 2
a good portion of the original Constantinople Wall,Bin 2
a good social image,Bin 3
